tract_id,tract_name,total_pop,median_income,median_home_value,median_gross_rent,occupied_units,owner_units,renter_units,hispanic_pop,white_pop,black_pop,poverty_universe,below_poverty,poverty_rate,year,centroid_distance_miles,beltline_half_mile,beltline_one_mile,beltline_three_miles,pct_white,pct_black,pct_hispanic,pct_renter
13089022401,"Census Tract 224.01, DeKalb County, Georgia",3881.0,67714.0,321700.0,953.0,1877,1040,837,77.0,3491.0,170.0,3659.0,192.0,0.0524733533752391,2000,1.7129708358801206,0.0,0.0,1.0,0.8995104354547797,0.043803143519711416,0.01984024735892811,0.445924347362813
13089022403,"Census Tract 224.03, DeKalb County, Georgia",4026.0,99510.0,360000.0,683.0,1619,1269,350,88.0,3606.0,160.0,3965.0,164.0,0.0413619167717528,2000,2.380625292535056,0.0,0.0,1.0,0.8956780923994039,0.03974167908594138,0.02185792349726776,0.21618282890673254
13089022700,"Census Tract 227, DeKalb County, Georgia",4080.0,43703.0,170100.0,599.0,1587,1018,569,37.0,1281.0,2669.0,3964.0,375.0,0.0946014127144298,2000,3.107293281786252,0.0,0.0,0.0,0.3139705882352941,0.6541666666666667,0.009068627450980393,0.35853812224322623
13089022800,"Census Tract 228, DeKalb County, Georgia",3765.0,51619.0,211500.0,716.0,1251,836,415,69.0,2392.0,1131.0,3207.0,347.0,0.1082008107265357,2000,3.9510445469775703,0.0,0.0,0.0,0.6353253652058433,0.300398406374502,0.018326693227091632,0.3317346123101519
13089022900,"Census Tract 229, DeKalb County, Georgia",4223.0,41959.0,125500.0,697.0,1786,1246,540,74.0,1724.0,2269.0,4202.0,633.0,0.1506425511661114,2000,4.5604580495117215,0.0,0.0,0.0,0.40824058726024154,0.5372957613071276,0.017523087852237745,0.3023516237402016
13089023000,"Census Tract 230, DeKalb County, Georgia",1996.0,52743.0,214700.0,760.0,1010,707,303,29.0,1502.0,398.0,1964.0,108.0,0.054989816700611,2000,5.245478026873537,0.0,0.0,0.0,0.7525050100200401,0.19939879759519039,0.014529058116232466,0.3
13089023101,"Census Tract 231.01, DeKalb County, Georgia",5457.0,35261.0,74200.0,617.0,1788,1041,747,77.0,269.0,5005.0,5445.0,1229.0,0.2257116620752984,2000,4.891572326903138,0.0,0.0,0.0,0.04929448414879971,0.9171706065603812,0.014110317024005864,0.41778523489932884
13089023102,"Census Tract 231.02, DeKalb County, Georgia",3586.0,36214.0,168000.0,651.0,1506,670,836,110.0,1140.0,2231.0,3573.0,490.0,0.1371396585502379,2000,5.684734561446407,0.0,0.0,0.0,0.31790295593976575,0.6221416620189626,0.03067484662576687,0.5551128818061088
13089023107,"Census Tract 231.07, DeKalb County, Georgia",5589.0,37297.0,80300.0,733.0,1942,1455,487,324.0,930.0,4202.0,5577.0,588.0,0.1054330285099515,2000,6.090481078351456,0.0,0.0,0.0,0.16639828234031132,0.7518339595634281,0.057971014492753624,0.25077239958805353
13089023108,"Census Tract 231.08, DeKalb County, Georgia",5139.0,35599.0,79600.0,737.0,1616,888,728,170.0,381.0,4443.0,5042.0,794.0,0.1574771915906386,2000,7.197433405806447,0.0,0.0,0.0,0.07413893753648569,0.8645650904845301,0.033080365829928,0.4504950495049505
13089023209,"Census Tract 232.09, DeKalb County, Georgia",5777.0,61729.0,113100.0,970.0,1814,1657,157,146.0,529.0,4919.0,5760.0,435.0,0.0755208333333333,2000,10.818227376386215,0.0,0.0,0.0,0.09157001904102476,0.851480006924009,0.02527263285442271,0.08654906284454245
